Name,Age,Price,Goods,Quantity,Rating,Discount,Category,Purchase Date
George,68.0,112.01334406588532,Tablet,2,4.0,38.98,Electronics,2023-01-01 00:00:00
David,57.0,386.88501303437823,Laptop,3,3.3,42.23,Accessories,2023-01-01 01:00:00
Emma,24.0,,Laptop,5,4.5,34.31,Electronics,2023-01-01 02:00:00
George,49.0,337.0262107472093,Phone,16,2.3,42.45,Accessories,2023-01-01 03:00:00
Charlie,65.0,237.2947276695195,Smartwatch,10,3.4,36.52,Electronics,2023-01-01 04:00:00
Hannah,36.0,176.64623560043398,Tablet,11,3.6,,Electronics,2023-01-01 05:00:00
Emma,,431.8901543850791,Camera,19,2.1,28.53,Gadgets,2023-01-01 06:00:00
Emma,37.0,427.86250786547765,Laptop,16,2.6,19.02,Accessories,2023-01-01 07:00:00
George,44.0,16.03934392482857,Headphones,12,3.4,34.03,Accessories,2023-01-01 08:00:00
Bob,60.0,306.70503561246835,Tablet,2,1.1,3.46,Electronics,2023-01-01 09:00:00
Charlie,54.0,,Tablet,11,4.5,24.92,Accessories,2023-01-01 10:00:00
George,65.0,210.75219574272234,Laptop,1,1.4,38.67,Electronics,2023-01-01 11:00:00
Charlie,24.0,416.8601659132941,Camera,5,1.2,8.45,Electronics,2023-01-01 12:00:00
Charlie,,158.37068690620075,Headphones,14,1.9,20.02,Accessories,2023-01-01 13:00:00
Hannah,28.0,471.809161265622,Camera,18,3.0,17.51,Accessories,2023-01-01 14:00:00
Emma,32.0,93.91874405420968,Headphones,7,2.3,16.75,Electronics,2023-01-01 15:00:00
David,20.0,333.04759956724797,Laptop,5,2.8,32.53,Accessories,2023-01-01 16:00:00
Hannah,22.0,,Tablet,8,1.3,24.87,Accessories,2023-01-01 17:00:00
Hannah,40.0,129.8366049068195,Headphones,15,1.9,39.87,Accessories,2023-01-01 18:00:00
Charlie,,165.75155143876498,Tablet,5,,2.89,Accessories,2023-01-01 19:00:00
Fiona,26.0,418.2252538270705,Phone,13,1.9,22.7,Gadgets,2023-01-01 20:00:00
Emma,32.0,382.09360120270145,Phone,19,3.8,0.7,Gadgets,2023-01-01 21:00:00
Bob,20.0,167.90246075580598,Laptop,2,3.3,11.04,Electronics,2023-01-01 22:00:00
Hannah,46.0,269.3084907327923,Laptop,5,2.3,38.77,Electronics,2023-01-01 23:00:00
David,23.0,35.531746645282254,Smartwatch,5,2.0,5.3,Gadgets,2023-01-02 00:00:00
Fiona,34.0,108.32921178732147,Laptop,6,5.0,5.28,Electronics,2023-01-02 01:00:00
Fiona,43.0,245.48117663589755,Phone,16,4.1,20.07,Gadgets,2023-01-02 02:00:00
Bob,38.0,47.556998963209736,Headphones,2,4.3,38.85,Electronics,2023-01-02 03:00:00
Hannah,25.0,422.44951567150906,Camera,5,1.1,31.9,Accessories,2023-01-02 04:00:00
David,38.0,360.4130740032857,Laptop,15,1.2,39.09,Accessories,2023-01-02 05:00:00
Emma,28.0,,Camera,1,3.9,2.48,Gadgets,2023-01-02 06:00:00
Alice,55.0,348.26611845219344,Camera,19,1.8,,Gadgets,2023-01-02 07:00:00
David,25.0,470.49867926978186,Phone,3,2.7,22.66,Gadgets,2023-01-02 08:00:00
Bob,59.0,279.4837150670277,Smartwatch,19,1.7,,Gadgets,2023-01-02 09:00:00
Fiona,41.0,302.10821247567486,Headphones,15,1.7,36.87,Accessories,2023-01-02 10:00:00
Emma,52.0,488.60067203999915,Phone,3,1.4,21.22,Accessories,2023-01-02 11:00:00
David,31.0,322.8539276978089,Laptop,8,3.4,27.69,Gadgets,2023-01-02 12:00:00
Alice,31.0,20.239351586069567,Phone,15,4.0,21.24,Gadgets,2023-01-02 13:00:00
Alice,27.0,363.282374432109,Phone,1,1.2,22.06,Electronics,2023-01-02 14:00:00
Charlie,29.0,453.20700260802073,Phone,6,2.1,31.7,Accessories,2023-01-02 15:00:00
Charlie,55.0,398.81222364819166,Laptop,17,3.6,10.83,Accessories,2023-01-02 16:00:00
George,61.0,293.9974699495842,Laptop,16,2.6,16.66,Gadgets,2023-01-02 17:00:00
Bob,63.0,337.2952389812906,Phone,13,3.8,13.96,Electronics,2023-01-02 18:00:00
Hannah,51.0,495.1449356795775,Phone,1,4.0,40.04,Accessories,2023-01-02 19:00:00
David,58.0,49.87773381212247,Camera,3,1.1,47.1,Electronics,2023-01-02 20:00:00
David,27.0,335.2861901734536,Headphones,6,,20.72,Electronics,2023-01-02 21:00:00
Hannah,34.0,145.28185881244394,Camera,3,3.9,3.86,Accessories,2023-01-02 22:00:00
George,34.0,321.84474631015416,Smartwatch,15,2.5,4.68,Accessories,2023-01-02 23:00:00
Fiona,20.0,305.7736700625497,Headphones,15,1.0,19.98,Electronics,2023-01-03 00:00:00
Fiona,48.0,80.96113189354023,Smartwatch,11,2.3,19.75,Electronics,2023-01-03 01:00:00
George,68.0,107.33958964141839,Headphones,6,4.5,7.31,Accessories,2023-01-03 02:00:00
Fiona,18.0,312.7066411313907,Phone,6,4.8,40.36,Gadgets,2023-01-03 03:00:00
Charlie,29.0,68.4738239153682,Camera,9,3.2,25.01,Electronics,2023-01-03 04:00:00
David,56.0,136.26453318950982,Headphones,14,2.2,5.45,Accessories,2023-01-03 05:00:00
George,21.0,418.4465461303112,Smartwatch,11,2.9,4.94,Electronics,2023-01-03 06:00:00
David,59.0,166.91029547081112,Headphones,6,1.9,,Accessories,2023-01-03 07:00:00
